drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
9/14/2014,4,20,24,26,43,0,799,17
9/15/2014,4,10,12,20,43,397978,523,14
9/16/2014,15,24,27,32,42,0,883,19
9/17/2014,7,8,20,29,30,0,417,13
9/18/2014,8,28,30,36,41,0,705,17
9/19/2014,5,8,16,28,29,267134,337,12
9/20/2014,6,28,35,38,42,0,769,20
9/21/2014,7,15,32,35,36,0,594,17
9/22/2014,4,12,27,37,43,303520,572,16
9/23/2014,2,6,9,17,19,0,243,10
9/24/2014,6,26,27,29,38,0,524,15
9/25/2014,6,8,19,34,39,0,566,15
9/26/2014,6,7,13,30,32,258492,573,14
9/27/2014,2,25,28,37,41,0,576,20
9/28/2014,4,14,20,21,27,0,388,13
9/29/2014,9,21,26,28,31,0,422,14
9/30/2014,8,13,19,21,31,469173,358,12
10/1/2014,1,6,12,23,26,40031,270,12
10/2/2014,6,7,11,27,29,0,245,9
10/3/2014,12,27,28,38,40,0,551,16
10/4/2014,2,7,8,12,37,0,462,12
10/5/2014,1,6,19,21,30,0,418,12
10/6/2014,3,4,29,32,34,0,608,16
10/7/2014,1,2,20,32,40,507103,534,16
10/8/2014,7,11,20,26,41,0,597,15
10/9/2014,9,18,19,20,40,0,614,14
10/10/2014,5,17,26,36,42,340487,634,17
10/11/2014,3,10,16,36,41,0,713,18
10/12/2014,5,11,14,29,31,81763,400,12
10/13/2014,3,4,37,39,42,0,625,21
10/14/2014,10,18,32,34,43,0,518,18
10/15/2014,8,10,13,22,27,314533,263,11
10/16/2014,22,23,27,28,30,0,485,14
10/17/2014,20,29,32,34,43,192916,737,19
10/18/2014,13,27,34,35,38,74179,865,18
10/19/2014,1,2,23,32,36,0,557,18
10/20/2014,3,10,14,24,37,166060,484,13
10/21/2014,3,4,6,12,36,0,368,12
10/22/2014,14,19,38,41,42,0,869,22
10/23/2014,4,9,14,16,41,0,542,15
10/24/2014,1,2,5,38,42,0,566,16
10/25/2014,8,26,28,31,36,646555,517,15
10/26/2014,27,30,35,40,42,0,749,20
10/27/2014,2,3,12,21,32,166837,419,13
10/28/2014,7,8,10,33,41,0,522,16
10/29/2014,4,11,21,30,43,171755,603,14
10/30/2014,15,19,25,29,31,39317,350,13
10/31/2014,5,12,25,27,34,82254,376,12
11/1/2014,25,28,37,39,42,0,950,21
11/2/2014,6,7,23,28,42,0,621,16
11/3/2014,3,19,20,37,43,0,644,18
11/4/2014,1,2,5,23,31,445804,439,12
11/5/2014,1,2,18,19,29,0,405,12
11/6/2014,19,23,24,31,40,0,586,16
11/7/2014,8,10,26,29,31,0,361,13
11/8/2014,1,19,22,27,28,451673,395,12
11/9/2014,8,21,23,37,39,0,606,16
11/10/2014,11,19,20,26,41,0,682,16
11/11/2014,14,17,19,32,41,0,517,16
11/12/2014,7,17,20,23,25,0,394,12
11/13/2014,4,7,23,36,38,0,540,15
11/14/2014,4,9,13,25,36,971722,477,14
11/15/2014,12,16,22,28,34,0,452,14
11/16/2014,1,5,11,15,40,0,362,12
11/17/2014,7,17,27,34,41,0,525,15
11/18/2014,11,12,18,19,26,0,367,12
11/19/2014,4,12,16,24,27,0,375,12
11/20/2014,2,15,26,32,43,0,550,18
11/21/2014,5,25,28,34,38,0,486,15
11/22/2014,13,18,21,24,36,791281,462,14
11/23/2014,5,18,20,23,39,0,518,14
11/24/2014,3,14,22,29,33,88819,355,13
11/25/2014,2,13,29,34,43,0,733,20
11/26/2014,6,17,19,25,42,0,531,15
11/27/2014,9,20,25,26,31,0,558,14
11/28/2014,3,26,37,39,41,0,671,18
11/29/2014,5,8,12,36,43,611246,531,15
11/30/2014,3,19,27,41,43,0,612,18
12/1/2014,5,28,31,38,39,0,684,16
12/2/2014,14,16,17,26,42,0,720,17
12/3/2014,9,12,30,36,42,488895,671,17
12/4/2014,5,14,17,35,42,0,717,17
12/5/2014,5,11,14,35,42,0,406,16
12/6/2014,8,28,34,36,42,338008,608,18
12/7/2014,8,12,20,21,42,0,514,15
12/8/2014,16,23,26,32,34,0,592,17
12/9/2014,4,18,22,33,38,306508,503,15
12/10/2014,10,13,17,19,39,0,384,13
12/11/2014,4,9,12,20,40,92641,397,12
12/12/2014,3,18,25,33,38,0,533,15
12/13/2014,11,12,13,31,41,0,497,15
12/14/2014,7,10,24,34,39,295061,563,16
12/15/2014,8,14,31,38,39,0,596,18
12/16/2014,9,21,32,34,40,0,605,17
12/17/2014,1,11,23,35,38,0,537,16
12/18/2014,10,12,20,35,39,0,662,15
