drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2014-09-14,4,20,24,26,43,0,799,17
2014-09-15,4,10,12,20,43,397978,523,14
2014-09-16,15,24,27,32,42,0,883,19
2014-09-17,7,8,20,29,30,0,417,13
2014-09-18,8,28,30,36,41,0,705,17
2014-09-19,5,8,16,28,29,267134,337,12
2014-09-20,6,28,35,38,42,0,769,20
2014-09-21,7,15,32,35,36,0,594,17
2014-09-22,4,12,27,37,43,303520,572,16
2014-09-23,2,6,9,17,19,0,243,10
2014-09-24,6,26,27,29,38,0,524,15
2014-09-25,6,8,19,34,39,0,566,15
2014-09-26,6,7,13,30,32,258492,573,14
2014-09-27,2,25,28,37,41,0,576,20
2014-09-28,4,14,20,21,27,0,388,13
2014-09-29,9,21,26,28,31,0,422,14
2014-09-30,8,13,19,21,31,469173,358,12
2014-10-01,1,6,12,23,26,40031,270,12
2014-10-02,6,7,11,27,29,0,245,9
2014-10-03,12,27,28,38,40,0,551,16
2014-10-04,2,7,8,12,37,0,462,12
2014-10-05,1,6,19,21,30,0,418,12
2014-10-06,3,4,29,32,34,0,608,16
2014-10-07,1,2,20,32,40,507103,534,16
2014-10-08,7,11,20,26,41,0,597,15
2014-10-09,9,18,19,20,40,0,614,14
2014-10-10,5,17,26,36,42,340487,634,17
2014-10-11,3,10,16,36,41,0,713,18
2014-10-12,5,11,14,29,31,81763,400,12
2014-10-13,3,4,37,39,42,0,625,21
2014-10-14,10,18,32,34,43,0,518,18
2014-10-15,8,10,13,22,27,314533,263,11
2014-10-16,22,23,27,28,30,0,485,14
2014-10-17,20,29,32,34,43,192916,737,19
2014-10-18,13,27,34,35,38,74179,865,18
2014-10-19,1,2,23,32,36,0,557,18
2014-10-20,3,10,14,24,37,166060,484,13
2014-10-21,3,4,6,12,36,0,368,12
2014-10-22,14,19,38,41,42,0,869,22
2014-10-23,4,9,14,16,41,0,542,15
2014-10-24,1,2,5,38,42,0,566,16
2014-10-25,8,26,28,31,36,646555,517,15
2014-10-26,27,30,35,40,42,0,749,20
2014-10-27,2,3,12,21,32,166837,419,13
2014-10-28,7,8,10,33,41,0,522,16
2014-10-29,4,11,21,30,43,171755,603,14
2014-10-30,15,19,25,29,31,39317,350,13
2014-10-31,5,12,25,27,34,82254,376,12
2014-11-01,25,28,37,39,42,0,950,21
2014-11-02,6,7,23,28,42,0,621,16
2014-11-03,3,19,20,37,43,0,644,18
2014-11-04,1,2,5,23,31,445804,439,12
2014-11-05,1,2,18,19,29,0,405,12
2014-11-06,19,23,24,31,40,0,586,16
2014-11-07,8,10,26,29,31,0,361,13
2014-11-08,1,19,22,27,28,451673,395,12
2014-11-09,8,21,23,37,39,0,606,16
2014-11-10,11,19,20,26,41,0,682,16
2014-11-11,14,17,19,32,41,0,517,16
2014-11-12,7,17,20,23,25,0,394,12
2014-11-13,4,7,23,36,38,0,540,15
2014-11-14,4,9,13,25,36,971722,477,14
2014-11-15,12,16,22,28,34,0,452,14
2014-11-16,1,5,11,15,40,0,362,12
2014-11-17,7,17,27,34,41,0,525,15
2014-11-18,11,12,18,19,26,0,367,12
2014-11-19,4,12,16,24,27,0,375,12
2014-11-20,2,15,26,32,43,0,550,18
2014-11-21,5,25,28,34,38,0,486,15
2014-11-22,13,18,21,24,36,791281,462,14
2014-11-23,5,18,20,23,39,0,518,14
2014-11-24,3,14,22,29,33,88819,355,13
2014-11-25,2,13,29,34,43,0,733,20
2014-11-26,6,17,19,25,42,0,531,15
2014-11-27,9,20,25,26,31,0,558,14
2014-11-28,3,26,37,39,41,0,671,18
2014-11-29,5,8,12,36,43,611246,531,15
2014-11-30,3,19,27,41,43,0,612,18
2014-12-01,5,28,31,38,39,0,684,16
2014-12-02,14,16,17,26,42,0,720,17
2014-12-03,9,12,30,36,42,488895,671,17
2014-12-04,5,14,17,35,42,0,717,17
2014-12-05,5,11,14,35,42,0,406,16
2014-12-06,8,28,34,36,42,338008,608,18
2014-12-07,8,12,20,21,42,0,514,15
2014-12-08,16,23,26,32,34,0,592,17
2014-12-09,4,18,22,33,38,306508,503,15
2014-12-10,10,13,17,19,39,0,384,13
2014-12-11,4,9,12,20,40,92641,397,12
2014-12-12,3,18,25,33,38,0,533,15
2014-12-13,11,12,13,31,41,0,497,15
2014-12-14,7,10,24,34,39,295061,563,16
2014-12-15,8,14,31,38,39,0,596,18
2014-12-16,9,21,32,34,40,0,605,17
2014-12-17,1,11,23,35,38,0,537,16
2014-12-18,10,12,20,35,39,0,662,15
2014-12-19,18,24,25,26,27,351509,382,14
2014-12-20,6,17,21,27,33,0,371,13
2014-12-21,16,20,27,29,40,0,644,16
2014-12-22,22,25,37,41,42,0,848,20
2014-12-23,2,6,25,29,36,0,470,15
2014-12-24,4,6,9,17,36,0,534,13
2014-12-26,7,17,19,29,43,1015698,448,13
2014-12-27,3,7,11,32,40,76797,419,12
2014-12-28,12,20,28,36,38,0,561,16
2014-12-29,5,16,26,33,40,0,535,16
2014-12-30,8,10,19,24,30,157209,359,11
2014-12-31,3,14,20,38,39,92442,539,17
2015-01-01,19,23,25,32,42,65569,715,20
2015-01-02,15,19,26,33,38,85587,629,16
2015-01-03,10,12,15,21,31,36282,355,12
2015-01-04,3,14,16,20,32,0,643,14
2015-01-05,8,23,37,38,40,0,611,17
2015-01-06,21,22,31,34,37,0,572,18
2015-01-07,6,15,16,24,37,0,497,16
2015-01-08,10,19,24,27,36,0,436,13
2015-01-09,9,18,25,29,40,882518,485,14
2015-01-10,25,26,35,38,43,0,1011,20
2015-01-11,15,28,33,41,42,0,549,21
2015-01-12,2,4,17,20,30,0,353,12
2015-01-13,10,11,17,30,39,146337,542,14
2015-01-14,11,20,24,33,35,0,512,17
2015-01-15,8,19,29,38,40,179578,403,14
2015-01-16,10,12,24,27,31,0,350,11
2015-01-17,2,12,16,25,39,0,636,15
2015-01-18,7,8,21,34,37,0,595,15
2015-01-19,4,7,20,31,34,423523,614,14
2015-01-20,8,9,21,29,37,39067,406,14
2015-01-21,11,16,17,32,43,0,736,18
2015-01-22,1,6,20,29,38,0,524,15
2015-01-23,1,20,29,31,39,315470,508,16
2015-01-24,10,18,34,36,38,0,667,16
2015-01-25,3,15,20,31,38,0,693,15
2015-01-26,10,23,27,34,36,272306,582,15
2015-01-27,4,21,35,37,43,0,718,22
2015-01-28,23,25,27,31,41,0,728,18
2015-01-29,4,21,26,37,43,0,544,18
2015-01-30,15,22,23,36,43,0,591,17
2015-01-31,13,17,18,21,31,633216,399,13
2015-02-01,6,17,19,28,41,0,498,15
2015-02-02,4,5,7,13,34,0,563,12
2015-02-03,2,4,16,28,33,276773,444,13
2015-02-04,22,24,29,35,36,78869,567,17
2015-02-05,4,10,19,22,39,0,431,12
2015-02-06,2,9,15,22,37,0,489,14
2015-02-07,11,12,13,42,43,313486,702,17
2015-02-08,2,9,12,18,35,0,435,12
2015-02-09,3,7,9,15,34,0,441,11
2015-02-10,4,13,15,17,24,0,406,12
2015-02-11,11,15,28,35,43,232787,528,16
2015-02-12,5,6,7,18,34,0,502,13
2015-02-13,1,24,33,34,41,0,663,20
2015-02-14,16,22,24,25,43,0,520,17
2015-02-15,11,16,19,22,24,0,426,12
2015-02-16,1,15,17,20,40,0,598,15
2015-02-17,1,21,24,30,37,0,581,16
2015-02-18,7,12,17,22,32,385267,372,13
2015-02-19,4,13,14,37,38,81218,624,17
2015-02-20,10,12,18,33,43,82983,719,17
2015-02-21,2,8,17,23,37,72583,454,13
2015-02-22,3,6,14,15,24,65558,389,12
2015-02-23,7,23,25,29,34,0,631,14
2015-02-24,6,17,25,33,37,0,652,16
2015-02-25,4,21,30,37,39,0,600,16
2015-02-26,14,15,17,27,40,487434,553,14
2015-02-27,19,21,31,35,43,0,741,18
2015-02-28,5,13,15,32,40,0,572,16
2015-03-01,6,9,13,36,43,0,589,17
2015-03-02,2,14,19,21,22,464724,446,12
2015-03-03,16,19,23,36,37,0,609,18
2015-03-04,6,10,30,36,41,0,622,18
2015-03-05,3,8,13,19,42,289848,679,13
2015-03-06,12,20,23,25,26,0,434,12
2015-03-07,9,18,31,34,36,0,628,16
2015-03-08,24,25,33,39,41,0,923,18
2015-03-09,8,21,33,34,39,457512,604,16
2015-03-10,1,2,13,15,42,0,638,17
2015-03-11,2,13,30,39,42,0,849,19
2015-03-12,11,13,16,24,35,0,539,15
2015-03-13,5,14,19,33,41,0,507,15
2015-03-14,4,5,12,23,41,697352,493,14
2015-03-15,3,11,17,41,42,0,657,18
2015-03-16,2,6,8,30,42,0,512,14
2015-03-17,10,12,20,30,33,0,425,13
2015-03-18,11,18,21,36,41,0,614,17
2015-03-19,1,3,17,28,42,0,506,15
2015-03-20,9,15,27,28,30,964534,450,13
2015-03-21,1,15,19,36,42,0,898,19
2015-03-22,1,10,13,14,34,165107,562,14
2015-03-23,5,9,14,15,21,0,315,10
2015-03-24,4,27,28,35,38,189307,584,16
2015-03-25,5,9,10,19,31,0,299,10
2015-03-26,2,4,32,34,36,0,614,17
2015-03-27,19,20,25,38,42,0,681,17
2015-03-28,4,6,14,35,37,0,551,16
2015-03-29,4,13,20,35,42,731700,573,17
2015-03-30,14,16,17,21,39,0,479,15
2015-03-31,7,10,13,21,35,62909,434,12
2015-04-01,2,4,27,28,42,82195,591,15
2015-04-02,18,22,23,38,39,0,544,18
2015-04-03,6,9,19,24,38,201046,412,13
2015-04-04,4,11,12,27,43,0,404,13
2015-04-05,4,18,23,30,41,0,738,16
2015-04-06,6,30,31,36,37,291814,636,17
2015-04-07,20,34,37,40,41,0,811,22
2015-04-08,8,22,29,30,33,0,415,14
2015-04-09,18,22,33,38,43,0,705,18
2015-04-10,28,33,37,40,43,268471,564,18
2015-04-11,25,27,37,41,42,0,856,22
2015-04-12,10,22,25,32,33,0,685,16
2015-04-13,29,30,32,33,35,0,638,17
2015-04-14,3,5,6,26,29,472271,384,12
2015-04-15,6,11,16,22,23,79496,349,12
2015-04-16,1,3,4,9,43,0,430,11
2015-04-17,2,15,22,41,42,0,683,18
2015-04-18,2,14,18,23,41,0,554,16
2015-04-19,12,15,25,31,35,0,487,14
2015-04-20,2,6,14,20,38,0,494,14
2015-04-21,7,22,23,30,32,0,519,15
2015-04-22,1,16,23,28,43,1388855,584,16
2015-04-23,5,22,34,37,38,42475,611,18
2015-04-24,1,6,13,33,41,0,627,17
2015-04-25,1,11,24,25,38,0,532,14
2015-04-26,2,9,21,37,39,299778,684,16
2015-04-27,14,24,26,27,28,0,430,13
2015-04-28,5,13,19,25,42,187962,445,14
2015-04-29,7,22,23,39,40,0,581,16
2015-04-30,6,10,33,38,41,0,585,18
2015-05-01,3,23,34,36,40,343929,605,17
2015-05-02,3,13,15,28,34,0,516,14
2015-05-03,6,8,13,22,36,0,451,14
2015-05-04,3,13,33,36,41,0,472,16
2015-05-05,2,7,17,22,42,0,516,14
2015-05-06,5,15,20,21,26,681087,392,13
2015-05-07,10,12,19,20,31,0,341,11
2015-05-08,8,14,17,22,26,97458,371,12
2015-05-09,3,20,22,38,40,0,818,18
2015-05-10,11,12,24,25,43,80581,560,15
2015-05-11,4,9,10,40,43,0,595,16
2015-05-12,6,8,21,29,30,0,344,12
2015-05-13,11,34,36,38,42,318645,516,18
2015-05-14,7,14,34,42,43,0,816,19
2015-05-15,2,21,30,32,39,0,714,17
2015-05-16,16,24,33,39,41,0,512,18
2015-05-17,13,16,20,34,38,0,530,16
2015-05-18,5,17,19,23,40,691306,431,13
2015-05-19,3,10,12,16,31,0,270,11
